0Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,vmaf,
98,0.792227,0.834658,0.684873,0.721593,0.856948,7.662870,7.662870,0.320332,0.572244,0.605458,0.609153,18.827268,39.529231,38.553290,0.776565,29.803272,
99,0.774262,0.831705,0.685550,0.738051,0.809613,7.749225,7.749225,0.322175,0.593611,0.633803,0.653495,19.073891,40.365454,41.664397,0.774411,28.994107,
100,0.756840,0.831751,0.670004,0.708193,0.792690,7.769972,8.311368,0.319432,0.585734,0.623170,0.642316,19.186341,40.468736,42.032048,0.775681,25.447400,
101,0.754488,0.831568,0.658174,0.634506,0.835587,6.979567,7.769972,0.299324,0.563875,0.595033,0.617199,18.915215,39.660719,41.395356,0.768910,23.257088,
102,0.761413,0.829180,0.703884,0.764277,0.757292,6.979567,6.979567,0.288053,0.564319,0.595864,0.604628,18.729175,39.002114,40.872171,0.765581,23.911927,
103,0.738875,0.838066,0.671904,0.632892,0.792722,7.187141,7.296805,0.268849,0.533023,0.562727,0.566501,18.492300,38.697444,40.575385,0.754992,19.178220,
104,0.750764,0.840386,0.652798,0.786516,0.737720,7.172276,7.187141,0.257991,0.521655,0.551197,0.560459,18.596860,38.710325,40.522445,0.756057,21.062728,
105,0.705565,0.831724,0.685006,0.640089,0.709799,7.172276,7.172276,0.263283,0.528869,0.560946,0.570164,18.686730,38.911200,40.716846,0.751207,14.172073,
106,0.660504,0.843256,0.672594,0.667228,0.590112,7.365792,7.654993,0.267142,0.515995,0.541814,0.543871,18.316394,38.584349,40.476730,0.752115,6.688720,
107,0.685998,0.839059,0.653378,0.616195,0.688470,6.973912,7.365792,0.261992,0.511307,0.539006,0.539339,18.022658,38.408934,40.373666,0.741727,10.111964,
108,0.662459,0.842441,0.623899,0.658875,0.617956,6.501962,6.973912,0.258205,0.507275,0.533613,0.533604,17.855110,38.166479,40.153225,0.733350,6.130332,
109,0.721494,0.840923,0.643186,0.652771,0.755133,6.501962,6.501962,0.259067,0.501868,0.527110,0.530522,17.967702,38.097422,40.131934,0.733646,14.966233,
110,0.704634,0.857942,0.726669,0.703565,0.649183,6.587327,6.587327,0.255874,0.493809,0.520930,0.526359,18.032119,38.136800,40.181431,0.732291,12.517770,
111,0.733335,0.861655,0.707415,0.729214,0.700396,5.906332,6.653859,0.252401,0.486147,0.511713,0.518020,18.031403,38.019816,40.146608,0.728324,16.189544,
112,0.718447,0.862570,0.721480,0.676562,0.690288,5.906332,5.906332,0.250386,0.484237,0.510125,0.517336,18.035656,38.037217,40.199603,0.726588,13.944735,
113,0.697900,0.872047,0.694661,0.670010,0.655589,6.063003,6.063003,0.248916,0.484365,0.511301,0.519679,18.005371,38.340986,40.443893,0.734542,11.086142,
114,0.717289,0.856074,0.689148,0.679276,0.700108,6.790724,6.790724,0.249386,0.478863,0.503114,0.507523,17.830843,38.498020,40.592348,0.732245,14.309130,
115,0.703493,0.858190,0.688715,0.666030,0.679493,6.747286,6.858118,0.249630,0.469690,0.492909,0.495550,17.533371,38.534863,40.574874,0.724994,12.017724,
116,0.716368,0.856698,0.685767,0.620118,0.732274,5.808897,6.747286,0.248392,0.460285,0.483091,0.487449,17.236333,38.921128,40.922942,0.726795,13.113282,
117,0.674422,0.843915,0.636131,0.653699,0.646302,5.682228,5.808897,0.239107,0.451987,0.475633,0.477025,16.847977,38.795799,40.763549,0.722224,6.921888,
118,0.684484,0.855245,0.633126,0.651705,0.666430,5.682228,5.682228,0.236612,0.448816,0.469383,0.467672,16.615172,38.862261,40.822204,0.720099,8.182509,
119,0.715901,0.849512,0.639148,0.655946,0.732840,5.786165,6.024591,0.230529,0.445183,0.462841,0.456574,16.570977,39.072924,40.999488,0.719212,12.620732,
120,0.761385,0.850296,0.632563,0.644774,0.845728,5.567755,5.786165,0.226132,0.439014,0.455427,0.452655,16.374209,39.098142,41.114248,0.719816,19.297828,
121,0.693374,0.851503,0.650593,0.705573,0.652071,5.160216,5.567755,0.219109,0.431678,0.448677,0.444828,16.272818,39.285027,41.252801,0.724155,9.057412,
122,0.720110,0.858545,0.673605,0.716528,0.695303,5.040200,5.160216,0.220813,0.422833,0.436958,0.428744,16.078458,39.559225,41.507295,0.724974,12.592133,
123,0.713098,0.853384,0.632878,0.660419,0.727887,4.202053,5.040200,0.221878,0.420506,0.432732,0.422832,15.919251,39.799805,41.789143,0.724911,10.827183,
124,0.703007,0.858938,0.640994,0.672016,0.694113,3.374844,4.202053,0.217014,0.417798,0.430958,0.417060,15.842646,39.926541,41.949233,0.727787,8.747818,
125,0.690466,0.841141,0.647187,0.695126,0.655849,3.100863,3.374844,0.211027,0.414314,0.426339,0.413797,15.743191,39.910903,41.910784,0.728797,6.910432,
126,0.684394,0.850652,0.639095,0.666140,0.658489,2.654907,3.100863,0.213024,0.416005,0.426897,0.413510,15.724239,39.951121,41.985037,0.724686,5.655884,
127,0.731410,0.855117,0.634166,0.721889,0.733576,2.654907,2.654907,0.217847,0.417399,0.430709,0.414940,15.749503,40.110061,42.183658,0.730346,12.139705,
128,0.740601,0.840207,0.665587,0.791438,0.709719,1.883859,2.707901,0.213072,0.413183,0.424185,0.407663,15.741037,40.320470,42.403729,0.732918,12.849523,
129,0.708477,0.844767,0.648646,0.696855,0.694523,1.883859,1.883859,0.211524,0.410994,0.422149,0.407470,15.788515,40.312556,42.418728,0.733042,8.414309,
130,0.705155,0.847714,0.689841,0.679574,0.682177,2.966807,2.966807,0.205044,0.408245,0.420251,0.405964,15.866704,40.700253,42.866542,0.734471,8.916539,
131,0.694032,0.840559,0.658164,0.625140,0.699599,4.541545,4.541545,0.199951,0.404087,0.412624,0.396825,15.954882,41.059036,43.347414,0.736025,8.611285,
132,0.744128,0.846978,0.674861,0.641218,0.796220,5.038714,5.437995,0.198109,0.400079,0.410557,0.395104,16.104864,41.484057,43.970932,0.743629,16.128710,
133,0.710957,0.854934,0.664044,0.666980,0.709620,2.929024,5.038714,0.200592,0.397150,0.408130,0.391963,16.316238,41.881791,44.541810,0.751057,9.814866,
134,0.715310,0.843981,0.658759,0.688352,0.712988,2.929024,2.929024,0.201582,0.398935,0.410760,0.394641,16.435957,41.974360,44.749084,0.756300,10.398563,
135,0.683285,0.864185,0.644716,0.628571,0.676022,3.211893,3.211893,0.201807,0.399480,0.411120,0.397893,16.563317,41.983879,44.847498,0.760255,6.307246,
136,0.683050,0.841879,0.630587,0.674070,0.660956,3.468201,3.468201,0.201614,0.402985,0.414991,0.401536,16.713548,42.025989,44.951070,0.764829,6.419515,
137,0.700270,0.849481,0.650416,0.630987,0.713427,4.237996,4.237996,0.202252,0.404413,0.417204,0.400053,16.826745,41.973573,44.694705,0.764654,9.257767,
138,0.696764,0.859801,0.653112,0.693344,0.665552,6.063440,6.063440,0.200938,0.402042,0.416528,0.404862,16.824245,41.588050,44.060311,0.755291,10.418358,
139,0.706087,0.848025,0.648141,0.647633,0.716496,4.609848,6.094812,0.205218,0.409906,0.424072,0.410483,16.850564,41.269868,43.630300,0.751217,10.375233,
140,0.710274,0.854874,0.637237,0.699754,0.698654,4.251681,4.609848,0.210164,0.414013,0.428890,0.419602,16.786527,40.970850,43.231851,0.753670,10.713662,
141,0.737707,0.845342,0.693911,0.699314,0.741928,4.251681,4.251681,0.211183,0.414842,0.429177,0.417487,16.725908,40.709951,42.887685,0.749658,14.533823,
142,0.693047,0.852925,0.668092,0.690339,0.653114,4.170039,4.893239,0.215291,0.421464,0.436791,0.424364,16.683474,40.370445,42.455027,0.747616,8.062325,
143,0.660445,0.851201,0.658063,0.673734,0.593596,3.512899,4.170039,0.217074,0.428889,0.444506,0.436427,16.629038,40.060297,42.083705,0.744345,3.128922,
144,0.678358,0.852188,0.658809,0.662667,0.638514,2.875660,3.512899,0.221024,0.431795,0.449365,0.445206,16.670147,39.995601,41.937052,0.745575,5.144058,
145,0.748464,0.849960,0.663035,0.633957,0.813239,2.643185,2.875660,0.224036,0.435635,0.454266,0.451175,16.593185,39.973477,41.851649,0.744173,15.000879,
146,0.681682,0.840288,0.635173,0.661681,0.657729,2.373839,2.643185,0.227320,0.436753,0.454810,0.454123,16.586306,39.913011,41.817882,0.743050,5.217263,
147,0.682944,0.870857,0.644215,0.649097,0.654094,2.117954,2.373839,0.231607,0.439316,0.457873,0.454716,16.619103,39.881069,41.790058,0.741565,5.081445,
148,0.683962,0.837846,0.666713,0.702013,0.629009,2.034795,2.117954,0.237698,0.441696,0.460631,0.458536,16.680303,39.873589,41.843866,0.748825,5.122553,
149,0.655171,0.847397,0.638687,0.618881,0.617864,1.806209,2.034795,0.238004,0.442669,0.461681,0.459798,16.734859,39.888402,41.845197,0.748935,1.006042,
150,0.724550,0.846204,0.666428,0.667232,0.738863,1.806209,1.806209,0.232815,0.441540,0.463226,0.463093,16.862209,39.904563,41.876099,0.751218,10.909328,
151,0.699215,0.847612,0.636906,0.625327,0.714920,2.014905,2.014905,0.231395,0.439759,0.460181,0.459114,16.937478,39.957896,41.974785,0.753208,7.390014,
152,0.708797,0.862585,0.636541,0.656232,0.714934,2.253279,2.253279,0.230184,0.440416,0.462234,0.465292,17.100684,39.946885,42.018591,0.760567,9.114122,
153,0.664666,0.865689,0.629784,0.638038,0.627648,2.424398,2.424398,0.235694,0.442191,0.461079,0.464358,17.182056,40.019593,42.144914,0.762948,2.929730,
154,0.691540,0.852842,0.675443,0.686474,0.647563,2.787279,2.787279,0.232892,0.443331,0.465280,0.466596,17.296982,39.959233,42.135249,0.754913,7.005965,
155,0.690665,0.860111,0.653717,0.683276,0.655342,2.827765,2.827765,0.227583,0.445322,0.465931,0.466273,17.535242,40.392090,42.575222,0.770389,6.896094,
156,0.676234,0.853247,0.650491,0.642557,0.651063,5.666879,5.848958,0.215787,0.439064,0.460167,0.458562,17.937131,40.632519,43.018972,0.769557,7.243232,
157,0.686480,0.865349,0.698244,0.642748,0.652664,3.455885,5.666879,0.211105,0.435687,0.457852,0.455374,18.254549,40.825264,43.419747,0.780033,6.970914,
158,0.666185,0.864335,0.638401,0.621832,0.642211,3.455885,3.455885,0.207180,0.430216,0.454405,0.459276,18.631769,40.905921,43.591471,0.784909,4.497633,
159,0.691520,0.846609,0.651886,0.648285,0.685148,4.987777,4.987777,0.208717,0.428391,0.453128,0.454281,18.874319,41.014649,43.946125,0.789209,9.124473,
160,0.690932,0.850907,0.649181,0.655621,0.680750,3.571977,5.022480,0.208779,0.424682,0.449530,0.453273,19.150440,41.259229,44.349902,0.795253,8.005303,
161,0.684925,0.845326,0.655683,0.611684,0.692190,3.571977,3.571977,0.207954,0.419257,0.446086,0.456031,19.279019,41.380690,44.566259,0.798725,7.431206,
162,0.682554,0.848902,0.701236,0.649472,0.649505,5.505611,7.955861,0.202790,0.417709,0.444321,0.452822,19.538582,41.665948,45.217704,0.795332,8.650579,
