id,solverName,downsample,LSize,kmax,chunkSize,rr,threshold_coverage,numOfSourceViews,numOfCamera,tvNum,coverage_estimated_first_order_diff,coverage_estimated_second_order_diff,log
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,5,7,0.569498881854725,-0.008024790972466667,822
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,5,8,-0.26189972228779146,0.018010940270499987,822
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,5,9,-0.20092307702969558,0.0046430040168001785,822
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,5,10,-0.2723876122999027,0.017195181986749963,822
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,4,0,0.38954065685866945,-0.016822001092377636,434
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,4,1,-0.21221173877416988,-0.0016653746278000314,434
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,4,2,0.3243291879710356,0.010454224028399905,434
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,4,3,0.43362839780388696,-0.02310132988721114,434
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,4,4,0.45234875975566713,-0.02385194377922223,434
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,4,5,0.45078159883431446,-0.02937876670937778,434
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,4,6,0.34266757407701876,-0.02676171043502229,434
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,4,7,-0.30445642331014944,-0.012268352826099949,434
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,4,8,0.292301091953728,0.008142096634533247,434
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,4,9,-0.38106981306578813,0.03251966732239997,434
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,4,10,-0.4808100413765155,0.01905691220104999,434
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,0,0.9086553701043315,-0.0175390571620887,1424
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,1,0.42113019817096187,-0.013213207787200032,1424
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,2,0.31740947302194633,-0.0133981793261998,1424
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,3,0.2611227975141932,-0.05476184365240022,1424
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,4,0.8470331144977484,-0.029419261124777774,1424
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,5,0.8910988349375011,-0.021715554532466763,1424
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,6,0.4505461247575957,-0.03119014087259986,1424
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,7,0.26186465098980527,-0.013048950480699983,1424
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,8,-0.13963794462240653,-0.014379796380900034,1424
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,9,0.7347672397551918,0.0024220703538665456,1424
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,6,10,0.5959325549460007,0.008550188013838889,1424
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,1,0,0.12395482871525113,0.03196671624,8
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,1,1,0.21973844458075725,0.05642279818266667,8
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,1,2,0.21625218303680532,0.04891619139433333,8
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,1,3,0.08656812561568039,0.017513461428888877,8
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,1,4,0.05586376518256722,-0.0012801993166666747,8
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,1,5,-0.009885328951046435,-0.024302091465555564,8
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,1,6,-0.17261717394299464,-0.059116719250000005,8
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,1,7,-1.0,-0.09886564128999997,8
idF5_16users_8_0,kmax2Cvg,5,5,5,32,1.0,0.7,11,1,8,-0.03982827566189054,-0.026890250607777777,8
